source,market,symbol,interval,kline_open_ts,kline_close_ts,fetch_ts,human_open_time,human_open_time_local,open,high,low,close,volume
legacy,crypto,BTC/USDT,15m,1746494100,1746495000,1746494100,2025-05-06T01:15:00+00:00,2025-05-06T09:15:00+08:00,94750.72,94926.99,94750.72,94821.32,83.43933
legacy,crypto,BTC/USDT,15m,1746495000,1746495900,1746495000,2025-05-06T01:30:00+00:00,2025-05-06T09:30:00+08:00,94821.31,94821.31,94382.82,94382.83,124.11418
legacy,crypto,BTC/USDT,15m,1746495900,1746496800,1746495900,2025-05-06T01:45:00+00:00,2025-05-06T09:45:00+08:00,94382.83,94433.5,94312.59,94312.6,85.61292
legacy,crypto,BTC/USDT,15m,1746496800,1746497700,1746496800,2025-05-06T02:00:00+00:00,2025-05-06T10:00:00+08:00,94312.59,94400.0,94213.15,94240.87,94.39734
legacy,crypto,BTC/USDT,15m,1746497700,1746498600,1746497700,2025-05-06T02:15:00+00:00,2025-05-06T10:15:00+08:00,94240.87,94240.87,94053.04,94113.93,128.14534
legacy,crypto,BTC/USDT,15m,1746498600,1746499500,1746498600,2025-05-06T02:30:00+00:00,2025-05-06T10:30:00+08:00,94113.92,94233.97,94012.78,94153.99,105.31886
legacy,crypto,BTC/USDT,15m,1746499500,1746500400,1746499500,2025-05-06T02:45:00+00:00,2025-05-06T10:45:00+08:00,94153.99,94379.98,94153.98,94334.99,79.65003
legacy,crypto,BTC/USDT,15m,1746500400,1746501300,1746500400,2025-05-06T03:00:00+00:00,2025-05-06T11:00:00+08:00,94334.99,94390.82,94244.7,94257.87,65.78367
legacy,crypto,BTC/USDT,15m,1746501300,1746502200,1746501300,2025-05-06T03:15:00+00:00,2025-05-06T11:15:00+08:00,94257.87,94430.32,94233.96,94402.77,127.34453
legacy,crypto,BTC/USDT,15m,1746502200,1746503100,1746502200,2025-05-06T03:30:00+00:00,2025-05-06T11:30:00+08:00,94402.76,94498.12,94402.76,94481.72,162.55985
legacy,crypto,BTC/USDT,15m,1746503100,1746504000,1746503100,2025-05-06T03:45:00+00:00,2025-05-06T11:45:00+08:00,94481.72,94512.33,94432.68,94454.01,87.32242
legacy,crypto,BTC/USDT,15m,1746504000,1746504900,1746504000,2025-05-06T04:00:00+00:00,2025-05-06T12:00:00+08:00,94454.01,94454.35,94350.83,94397.73,42.77237
legacy,crypto,BTC/USDT,15m,1746504900,1746505800,1746504900,2025-05-06T04:15:00+00:00,2025-05-06T12:15:00+08:00,94397.74,94571.42,94373.64,94571.41,67.87197
legacy,crypto,BTC/USDT,15m,1746505800,1746506700,1746505800,2025-05-06T04:30:00+00:00,2025-05-06T12:30:00+08:00,94571.41,94583.82,94458.73,94461.21,79.69025
legacy,crypto,BTC/USDT,15m,1746506700,1746507600,1746506700,2025-05-06T04:45:00+00:00,2025-05-06T12:45:00+08:00,94461.21,94583.82,94461.21,94574.57,75.1474
legacy,crypto,BTC/USDT,15m,1746507600,1746508500,1746507600,2025-05-06T05:00:00+00:00,2025-05-06T13:00:00+08:00,94574.57,94603.03,94490.67,94490.68,97.35971
legacy,crypto,BTC/USDT,15m,1746508500,1746509400,1746508500,2025-05-06T05:15:00+00:00,2025-05-06T13:15:00+08:00,94490.67,94515.91,94349.7,94369.21,146.42123
legacy,crypto,BTC/USDT,15m,1746509400,1746510300,1746509400,2025-05-06T05:30:00+00:00,2025-05-06T13:30:00+08:00,94369.22,94414.84,94308.63,94359.99,78.49018
legacy,crypto,BTC/USDT,15m,1746510300,1746511200,1746510300,2025-05-06T05:45:00+00:00,2025-05-06T13:45:00+08:00,94360.0,94419.05,94320.0,94345.56,93.32454
legacy,crypto,BTC/USDT,15m,1746511200,1746512100,1746511200,2025-05-06T06:00:00+00:00,2025-05-06T14:00:00+08:00,94345.57,94460.38,94335.11,94437.02,33.12969
legacy,crypto,BTC/USDT,15m,1746512100,1746513000,1746512100,2025-05-06T06:15:00+00:00,2025-05-06T14:15:00+08:00,94437.02,94470.64,94398.55,94417.78,36.17859
legacy,crypto,BTC/USDT,15m,1746513000,1746513900,1746513000,2025-05-06T06:30:00+00:00,2025-05-06T14:30:00+08:00,94417.78,94482.54,94391.67,94477.03,58.65478
legacy,crypto,BTC/USDT,15m,1746513900,1746514800,1746513900,2025-05-06T06:45:00+00:00,2025-05-06T14:45:00+08:00,94477.04,94498.12,94420.71,94498.11,38.31713
legacy,crypto,BTC/USDT,15m,1746514800,1746515700,1746514800,2025-05-06T07:00:00+00:00,2025-05-06T15:00:00+08:00,94498.12,94638.01,94480.01,94494.99,55.76911
legacy,crypto,BTC/USDT,15m,1746515700,1746516600,1746515700,2025-05-06T07:15:00+00:00,2025-05-06T15:15:00+08:00,94494.98,94494.98,94420.47,94429.95,48.36078
legacy,crypto,BTC/USDT,15m,1746516600,1746517500,1746516600,2025-05-06T07:30:00+00:00,2025-05-06T15:30:00+08:00,94429.95,94535.85,94348.57,94399.99,146.82676
legacy,crypto,BTC/USDT,15m,1746517500,1746518400,1746517500,2025-05-06T07:45:00+00:00,2025-05-06T15:45:00+08:00,94400.0,94460.0,94387.89,94400.99,212.21209
legacy,crypto,BTC/USDT,15m,1746518400,1746519300,1746518400,2025-05-06T08:00:00+00:00,2025-05-06T16:00:00+08:00,94400.98,94400.99,94167.58,94203.81,178.80253
legacy,crypto,BTC/USDT,15m,1746519300,1746520200,1746519300,2025-05-06T08:15:00+00:00,2025-05-06T16:15:00+08:00,94203.8,94218.92,94003.0,94036.67,294.52522
legacy,crypto,BTC/USDT,15m,1746520200,1746521100,1746520200,2025-05-06T08:30:00+00:00,2025-05-06T16:30:00+08:00,94036.67,94277.52,94036.67,94261.17,107.53096
legacy,crypto,BTC/USDT,15m,1746521100,1746522000,1746521100,2025-05-06T08:45:00+00:00,2025-05-06T16:45:00+08:00,94261.17,94380.96,94261.16,94375.9,170.00083
legacy,crypto,BTC/USDT,15m,1746522000,1746522900,1746522000,2025-05-06T09:00:00+00:00,2025-05-06T17:00:00+08:00,94375.89,94375.9,94201.76,94201.76,116.64866
legacy,crypto,BTC/USDT,15m,1746522900,1746523800,1746522900,2025-05-06T09:15:00+00:00,2025-05-06T17:15:00+08:00,94201.77,94223.57,94144.4,94188.49,79.18682
legacy,crypto,BTC/USDT,15m,1746523800,1746524700,1746523800,2025-05-06T09:30:00+00:00,2025-05-06T17:30:00+08:00,94188.48,94233.48,94119.74,94124.45,77.70168
legacy,crypto,BTC/USDT,15m,1746524700,1746525600,1746524700,2025-05-06T09:45:00+00:00,2025-05-06T17:45:00+08:00,94124.46,94220.65,94113.02,94211.96,120.85093
legacy,crypto,BTC/USDT,15m,1746525600,1746526500,1746525600,2025-05-06T10:00:00+00:00,2025-05-06T18:00:00+08:00,94211.96,94211.96,94142.85,94153.07,130.43347
legacy,crypto,BTC/USDT,15m,1746526500,1746527400,1746526500,2025-05-06T10:15:00+00:00,2025-05-06T18:15:00+08:00,94153.07,94329.63,94148.39,94215.41,245.99198
legacy,crypto,BTC/USDT,15m,1746527400,1746528300,1746527400,2025-05-06T10:30:00+00:00,2025-05-06T18:30:00+08:00,94215.4,94237.68,94056.77,94069.11,193.70282
legacy,crypto,BTC/USDT,15m,1746528300,1746529200,1746528300,2025-05-06T10:45:00+00:00,2025-05-06T18:45:00+08:00,94069.11,94084.1,93861.93,93942.83,381.91855
legacy,crypto,BTC/USDT,15m,1746529200,1746530100,1746529200,2025-05-06T11:00:00+00:00,2025-05-06T19:00:00+08:00,93942.83,94066.55,93924.82,94000.01,118.33667
legacy,crypto,BTC/USDT,15m,1746530100,1746531000,1746530100,2025-05-06T11:15:00+00:00,2025-05-06T19:15:00+08:00,94000.01,94059.36,93882.51,93890.36,112.28072
legacy,crypto,BTC/USDT,15m,1746531000,1746531900,1746531000,2025-05-06T11:30:00+00:00,2025-05-06T19:30:00+08:00,93890.37,93978.2,93816.58,93884.0,123.12735
legacy,crypto,BTC/USDT,15m,1746531900,1746532800,1746531900,2025-05-06T11:45:00+00:00,2025-05-06T19:45:00+08:00,93884.0,93903.72,93720.63,93812.54,215.54334
legacy,crypto,BTC/USDT,15m,1746532800,1746533700,1746532800,2025-05-06T12:00:00+00:00,2025-05-06T20:00:00+08:00,93812.53,93921.4,93761.97,93809.89,112.61814
legacy,crypto,BTC/USDT,15m,1746533700,1746534600,1746533700,2025-05-06T12:15:00+00:00,2025-05-06T20:15:00+08:00,93809.9,93870.82,93766.49,93823.81,108.59142
legacy,crypto,BTC/USDT,15m,1746534600,1746535500,1746534600,2025-05-06T12:30:00+00:00,2025-05-06T20:30:00+08:00,93823.81,94012.36,93823.81,93997.48,428.54306
legacy,crypto,BTC/USDT,15m,1746535500,1746536400,1746535500,2025-05-06T12:45:00+00:00,2025-05-06T20:45:00+08:00,93997.48,94040.0,93924.34,93935.99,242.4437
legacy,crypto,BTC/USDT,15m,1746536400,1746537300,1746536400,2025-05-06T13:00:00+00:00,2025-05-06T21:00:00+08:00,93936.0,93947.64,93723.46,93735.53,182.96671
legacy,crypto,BTC/USDT,15m,1746537300,1746538200,1746537300,2025-05-06T13:15:00+00:00,2025-05-06T21:15:00+08:00,93735.54,93872.19,93735.53,93741.0,116.14917
legacy,crypto,BTC/USDT,15m,1746538200,1746539100,1746538200,2025-05-06T13:30:00+00:00,2025-05-06T21:30:00+08:00,93741.0,94015.25,93713.29,93952.68,198.64505
legacy,crypto,BTC/USDT,15m,1746539100,1746540000,1746539100,2025-05-06T13:45:00+00:00,2025-05-06T21:45:00+08:00,93952.68,94019.86,93377.0,93616.92,718.98213
legacy,crypto,BTC/USDT,15m,1746540000,1746540900,1746540000,2025-05-06T14:00:00+00:00,2025-05-06T22:00:00+08:00,93616.91,94196.23,93612.01,94046.37,321.53705
legacy,crypto,BTC/USDT,15m,1746540900,1746541800,1746540900,2025-05-06T14:15:00+00:00,2025-05-06T22:15:00+08:00,94046.38,94705.17,94046.38,94317.72,481.08598
legacy,crypto,BTC/USDT,15m,1746541800,1746542700,1746541800,2025-05-06T14:30:00+00:00,2025-05-06T22:30:00+08:00,94317.71,94476.2,94220.66,94264.33,182.82894
legacy,crypto,BTC/USDT,15m,1746542700,1746543600,1746542700,2025-05-06T14:45:00+00:00,2025-05-06T22:45:00+08:00,94264.33,94355.56,94086.91,94147.02,172.62197
legacy,crypto,BTC/USDT,15m,1746543600,1746544500,1746543600,2025-05-06T15:00:00+00:00,2025-05-06T23:00:00+08:00,94147.01,94330.1,94080.09,94330.1,126.26092
legacy,crypto,BTC/USDT,15m,1746544500,1746545400,1746544500,2025-05-06T15:15:00+00:00,2025-05-06T23:15:00+08:00,94330.1,94544.89,94210.04,94519.99,116.86124
legacy,crypto,BTC/USDT,15m,1746545400,1746546300,1746545400,2025-05-06T15:30:00+00:00,2025-05-06T23:30:00+08:00,94519.99,94733.38,94466.25,94596.77,273.4416
legacy,crypto,BTC/USDT,15m,1746546300,1746547200,1746546300,2025-05-06T15:45:00+00:00,2025-05-06T23:45:00+08:00,94596.76,94660.0,94504.38,94558.95,139.06161
legacy,crypto,BTC/USDT,15m,1746547200,1746548100,1746547200,2025-05-06T16:00:00+00:00,2025-05-07T00:00:00+08:00,94558.94,94850.0,94388.02,94818.01,246.46353
legacy,crypto,BTC/USDT,15m,1746548100,1746549000,1746548100,2025-05-06T16:15:00+00:00,2025-05-07T00:15:00+08:00,94818.0,94820.74,94444.0,94509.15,170.13297
legacy,crypto,BTC/USDT,15m,1746549000,1746549900,1746549000,2025-05-06T16:30:00+00:00,2025-05-07T00:30:00+08:00,94509.16,94736.51,94472.0,94472.01,139.7115
legacy,crypto,BTC/USDT,15m,1746549900,1746550800,1746549900,2025-05-06T16:45:00+00:00,2025-05-07T00:45:00+08:00,94472.01,94494.44,94216.0,94241.01,146.05373
legacy,crypto,BTC/USDT,15m,1746550800,1746551700,1746550800,2025-05-06T17:00:00+00:00,2025-05-07T01:00:00+08:00,94241.01,94474.17,94232.05,94461.17,168.87759
legacy,crypto,BTC/USDT,15m,1746551700,1746552600,1746551700,2025-05-06T17:15:00+00:00,2025-05-07T01:15:00+08:00,94461.17,94704.75,94456.0,94693.39,102.80009
legacy,crypto,BTC/USDT,15m,1746552600,1746553500,1746552600,2025-05-06T17:30:00+00:00,2025-05-07T01:30:00+08:00,94693.39,94856.53,94575.34,94590.23,179.03671
legacy,crypto,BTC/USDT,15m,1746553500,1746554400,1746553500,2025-05-06T17:45:00+00:00,2025-05-07T01:45:00+08:00,94590.24,94609.53,94495.26,94535.93,77.1556
legacy,crypto,BTC/USDT,15m,1746554400,1746555300,1746554400,2025-05-06T18:00:00+00:00,2025-05-07T02:00:00+08:00,94535.93,94648.49,94504.84,94597.56,84.93485
legacy,crypto,BTC/USDT,15m,1746555300,1746556200,1746555300,2025-05-06T18:15:00+00:00,2025-05-07T02:15:00+08:00,94597.55,94918.5,94597.55,94918.5,245.48896
legacy,crypto,BTC/USDT,15m,1746556200,1746557100,1746556200,2025-05-06T18:30:00+00:00,2025-05-07T02:30:00+08:00,94918.49,94950.0,94806.56,94819.99,111.77126
legacy,crypto,BTC/USDT,15m,1746557100,1746558000,1746557100,2025-05-06T18:45:00+00:00,2025-05-07T02:45:00+08:00,94819.99,95088.0,94819.99,95067.36,175.47073
legacy,crypto,BTC/USDT,15m,1746558000,1746558900,1746558000,2025-05-06T19:00:00+00:00,2025-05-07T03:00:00+08:00,95067.36,95100.23,94944.0,95052.2,198.03602
legacy,crypto,BTC/USDT,15m,1746558900,1746559800,1746558900,2025-05-06T19:15:00+00:00,2025-05-07T03:15:00+08:00,95052.21,95139.44,95006.96,95117.46,72.5001
legacy,crypto,BTC/USDT,15m,1746559800,1746560700,1746559800,2025-05-06T19:30:00+00:00,2025-05-07T03:30:00+08:00,95117.46,95150.23,95040.0,95126.6,105.7823
legacy,crypto,BTC/USDT,15m,1746560700,1746561600,1746560700,2025-05-06T19:45:00+00:00,2025-05-07T03:45:00+08:00,95126.6,95157.0,94923.49,94963.5,112.59112
legacy,crypto,BTC/USDT,15m,1746561600,1746562500,1746561600,2025-05-06T20:00:00+00:00,2025-05-07T04:00:00+08:00,94963.5,95020.0,94895.23,94980.25,98.46884
legacy,crypto,BTC/USDT,15m,1746562500,1746563400,1746562500,2025-05-06T20:15:00+00:00,2025-05-07T04:15:00+08:00,94980.25,94990.5,94768.25,94768.26,90.62442
legacy,crypto,BTC/USDT,15m,1746563400,1746564300,1746563400,2025-05-06T20:30:00+00:00,2025-05-07T04:30:00+08:00,94768.26,94786.45,94632.51,94718.85,67.597
legacy,crypto,BTC/USDT,15m,1746564300,1746565200,1746564300,2025-05-06T20:45:00+00:00,2025-05-07T04:45:00+08:00,94718.85,94760.0,94632.5,94682.23,77.61963
legacy,crypto,BTC/USDT,15m,1746565200,1746566100,1746565200,2025-05-06T21:00:00+00:00,2025-05-07T05:00:00+08:00,94682.23,94800.0,94588.61,94608.99,67.93226
legacy,crypto,BTC/USDT,15m,1746566100,1746567000,1746566100,2025-05-06T21:15:00+00:00,2025-05-07T05:15:00+08:00,94609.0,94654.74,94452.75,94498.61,87.55363
legacy,crypto,BTC/USDT,15m,1746567000,1746567900,1746567000,2025-05-06T21:30:00+00:00,2025-05-07T05:30:00+08:00,94498.61,94668.07,94498.6,94668.07,49.58534
legacy,crypto,BTC/USDT,15m,1746567900,1746568800,1746567900,2025-05-06T21:45:00+00:00,2025-05-07T05:45:00+08:00,94668.07,94714.28,94623.23,94688.99,53.62364
legacy,crypto,BTC/USDT,15m,1746568800,1746569700,1746568800,2025-05-06T22:00:00+00:00,2025-05-07T06:00:00+08:00,94688.99,95530.16,94684.77,95163.85,896.08436
legacy,crypto,BTC/USDT,15m,1746569700,1746570600,1746569700,2025-05-06T22:15:00+00:00,2025-05-07T06:15:00+08:00,95163.85,95657.15,95150.6,95654.84,383.04317
legacy,crypto,BTC/USDT,15m,1746570600,1746571500,1746570600,2025-05-06T22:30:00+00:00,2025-05-07T06:30:00+08:00,95654.84,96180.0,95604.22,96037.81,488.6319
legacy,crypto,BTC/USDT,15m,1746571500,1746572400,1746571500,2025-05-06T22:45:00+00:00,2025-05-07T06:45:00+08:00,96037.81,96293.88,96006.34,96259.94,377.86888
legacy,crypto,BTC/USDT,15m,1746572400,1746573300,1746572400,2025-05-06T23:00:00+00:00,2025-05-07T07:00:00+08:00,96259.94,96426.66,96102.72,96196.83,437.95418
legacy,crypto,BTC/USDT,15m,1746573300,1746574200,1746573300,2025-05-06T23:15:00+00:00,2025-05-07T07:15:00+08:00,96196.82,96802.51,96193.95,96628.25,450.78376
