source,market,symbol,interval,kline_open_ts,kline_close_ts,fetch_ts,human_open_time,human_open_time_local,open,high,low,close,volume
legacy,crypto,BTC/USDT,1h,1695441600,1695445200,1695441600,2023-09-23T04:00:00+00:00,2023-09-23T12:00:00+08:00,26532.21,26554.06,26509.0,26550.17,292.05232
legacy,crypto,BTC/USDT,1h,1695445200,1695448800,1695445200,2023-09-23T05:00:00+00:00,2023-09-23T13:00:00+08:00,26550.16,26555.0,26541.81,26542.46,287.72122
legacy,crypto,BTC/USDT,1h,1695448800,1695452400,1695448800,2023-09-23T06:00:00+00:00,2023-09-23T14:00:00+08:00,26542.46,26582.61,26542.45,26582.61,796.55432
legacy,crypto,BTC/USDT,1h,1695452400,1695456000,1695452400,2023-09-23T07:00:00+00:00,2023-09-23T15:00:00+08:00,26582.61,26586.75,26541.67,26585.31,421.66031
legacy,crypto,BTC/USDT,1h,1695456000,1695459600,1695456000,2023-09-23T08:00:00+00:00,2023-09-23T16:00:00+08:00,26585.32,26594.78,26554.49,26573.6,378.68088
legacy,crypto,BTC/USDT,1h,1695459600,1695463200,1695459600,2023-09-23T09:00:00+00:00,2023-09-23T17:00:00+08:00,26573.59,26580.16,26555.0,26573.87,305.66171
legacy,crypto,BTC/USDT,1h,1695463200,1695466800,1695463200,2023-09-23T10:00:00+00:00,2023-09-23T18:00:00+08:00,26573.88,26581.9,26567.25,26567.26,306.13105
legacy,crypto,BTC/USDT,1h,1695466800,1695470400,1695466800,2023-09-23T11:00:00+00:00,2023-09-23T19:00:00+08:00,26567.26,26575.21,26556.74,26575.21,246.20115
legacy,crypto,BTC/USDT,1h,1695470400,1695474000,1695470400,2023-09-23T12:00:00+00:00,2023-09-23T20:00:00+08:00,26575.21,26588.5,26559.5,26574.99,358.66107
legacy,crypto,BTC/USDT,1h,1695474000,1695477600,1695474000,2023-09-23T13:00:00+00:00,2023-09-23T21:00:00+08:00,26574.99,26583.66,26556.74,26575.13,367.59605
legacy,crypto,BTC/USDT,1h,1695477600,1695481200,1695477600,2023-09-23T14:00:00+00:00,2023-09-23T22:00:00+08:00,26575.13,26577.73,26557.36,26566.83,554.69785
legacy,crypto,BTC/USDT,1h,1695481200,1695484800,1695481200,2023-09-23T15:00:00+00:00,2023-09-23T23:00:00+08:00,26566.83,26585.06,26546.2,26581.55,733.8248
legacy,crypto,BTC/USDT,1h,1695484800,1695488400,1695484800,2023-09-23T16:00:00+00:00,2023-09-24T00:00:00+08:00,26581.55,26608.18,26559.83,26606.31,487.27283
legacy,crypto,BTC/USDT,1h,1695488400,1695492000,1695488400,2023-09-23T17:00:00+00:00,2023-09-24T01:00:00+08:00,26606.31,26610.0,26574.71,26598.31,398.4923
legacy,crypto,BTC/USDT,1h,1695492000,1695495600,1695492000,2023-09-23T18:00:00+00:00,2023-09-24T02:00:00+08:00,26598.31,26632.81,26598.31,26615.3,482.96541
legacy,crypto,BTC/USDT,1h,1695495600,1695499200,1695495600,2023-09-23T19:00:00+00:00,2023-09-24T03:00:00+08:00,26615.29,26617.05,26597.01,26610.09,230.89255
legacy,crypto,BTC/USDT,1h,1695499200,1695502800,1695499200,2023-09-23T20:00:00+00:00,2023-09-24T04:00:00+08:00,26610.09,26612.61,26581.91,26587.75,226.6768
legacy,crypto,BTC/USDT,1h,1695502800,1695506400,1695502800,2023-09-23T21:00:00+00:00,2023-09-24T05:00:00+08:00,26587.75,26594.26,26561.38,26568.8,301.58676
legacy,crypto,BTC/USDT,1h,1695506400,1695510000,1695506400,2023-09-23T22:00:00+00:00,2023-09-24T06:00:00+08:00,26568.8,26580.82,26561.01,26562.2,283.1339
legacy,crypto,BTC/USDT,1h,1695510000,1695513600,1695510000,2023-09-23T23:00:00+00:00,2023-09-24T07:00:00+08:00,26562.2,26575.97,26558.07,26575.96,240.69158
legacy,crypto,BTC/USDT,1h,1695513600,1695517200,1695513600,2023-09-24T00:00:00+00:00,2023-09-24T08:00:00+08:00,26575.97,26584.32,26560.84,26567.07,262.00685
legacy,crypto,BTC/USDT,1h,1695517200,1695520800,1695517200,2023-09-24T01:00:00+00:00,2023-09-24T09:00:00+08:00,26567.07,26588.15,26558.85,26584.4,212.34139
legacy,crypto,BTC/USDT,1h,1695520800,1695524400,1695520800,2023-09-24T02:00:00+00:00,2023-09-24T10:00:00+08:00,26584.41,26590.01,26577.56,26586.05,254.65824
legacy,crypto,BTC/USDT,1h,1695524400,1695528000,1695524400,2023-09-24T03:00:00+00:00,2023-09-24T11:00:00+08:00,26586.05,26586.06,26565.19,26570.93,148.31819
legacy,crypto,BTC/USDT,1h,1695528000,1695531600,1695528000,2023-09-24T04:00:00+00:00,2023-09-24T12:00:00+08:00,26570.93,26573.7,26555.48,26569.77,223.888
legacy,crypto,BTC/USDT,1h,1695531600,1695535200,1695531600,2023-09-24T05:00:00+00:00,2023-09-24T13:00:00+08:00,26569.77,26570.77,26550.0,26557.99,613.86001
legacy,crypto,BTC/USDT,1h,1695535200,1695538800,1695535200,2023-09-24T06:00:00+00:00,2023-09-24T14:00:00+08:00,26557.99,26561.85,26549.31,26553.1,338.63983
legacy,crypto,BTC/USDT,1h,1695538800,1695542400,1695538800,2023-09-24T07:00:00+00:00,2023-09-24T15:00:00+08:00,26553.1,26563.44,26550.25,26563.44,392.12627
